日期,時段,排名,代號,名稱,昨收,即時價,漲幅(%),狀態
2026-05-31,早盤(09:05),1,2353,宏碁,32.0,35.2,10.0,⚠️ 漲停跳過
2026-05-31,早盤(09:05),2,6669,緯穎,4950.0,5445.0,10.0,⚠️ 漲停跳過
2026-05-31,早盤(09:05),3,8454,富邦媒,210.0,231.0,10.0,⚠️ 漲停跳過
2026-05-31,早盤(09:05),4,2357,華碩,692.0,761.0,9.97,⚠️ 漲停跳過
2026-05-31,早盤(09:05),5,1319,東陽,86.5,95.1,9.94,⚠️ 漲停跳過
2026-05-31,早盤(09:05),6,3481,群創,46.4,51.0,9.91,⚠️ 漲停跳過
2026-05-31,早盤(09:05),7,6770,力積電,80.7,88.7,9.91,⚠️ 漲停跳過
2026-05-31,早盤(09:05),8,1326,台化,45.4,49.9,9.91,⚠️ 漲停跳過
2026-05-31,早盤(09:05),9,2382,廣達,308.5,339.0,9.89,⚠️ 漲停跳過
2026-05-31,早盤(09:05),10,2356,英業達,63.9,70.2,9.86,⚠️ 漲停跳過
2026-05-31,早盤(09:05),11,2313,華通,259.0,284.5,9.85,⚠️ 漲停跳過
2026-05-31,早盤(09:05),12,3090,日電貿,208.5,229.0,9.83,⚠️ 漲停跳過
2026-05-31,早盤(09:05),13,4916,事欣科,102.5,112.5,9.76,⚠️ 漲停跳過
2026-05-31,早盤(09:05),14,2344,華邦電,144.0,158.0,9.72,⚠️ 漲停跳過
2026-05-31,早盤(09:05),15,3231,緯創,144.5,158.5,9.69,⚠️ 漲停跳過
2026-05-31,早盤(09:05),16,2376,技嘉,337.5,370.0,9.63,⚠️ 漲停跳過
2026-05-31,早盤(09:05),17,2324,仁寶,33.5,36.7,9.55,⚠️ 漲停跳過
2026-05-31,早盤(09:05),18,6805,富世達,1765.0,1930.0,9.35,⭐️ 買進標的
2026-05-31,早盤(09:05),19,2495,普安,47.35,51.5,8.76,⭐️ 買進標的
2026-05-31,早盤(09:05),20,6531,愛普*,1095.0,1190.0,8.68,⭐️ 買進標的
2026-05-31,早盤(09:05),21,2409,友達,21.2,23.0,8.49,⭐️ 買進標的
2026-05-31,早盤(09:05),22,1303,南亞,90.5,98.1,8.4,⭐️ 買進標的
2026-05-31,早盤(09:05),23,6446,藥華藥,862.0,930.0,7.89,觀察中
2026-05-31,早盤(09:05),24,2059,川湖,4700.0,5065.0,7.77,觀察中
2026-05-31,早盤(09:05),25,8021,尖點,418.0,450.0,7.66,觀察中
2026-05-31,早盤(09:05),26,1605,華新,36.0,38.75,7.64,觀察中
2026-05-31,早盤(09:05),27,7769,鴻勁,7700.0,8260.0,7.27,觀察中
2026-05-31,早盤(09:05),28,00631L,元大台灣50正2,34.47,36.94,7.17,觀察中
2026-05-31,早盤(09:05),29,2408,南亞科,324.0,347.0,7.1,觀察中
2026-05-31,早盤(09:05),30,3189,景碩,681.0,729.0,7.05,觀察中
2026-06-02,早盤(09:05),通過(13035.12/12854.55),1,2353,宏碁,32.0,35.2,10.0,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),2,6669,緯穎,4950.0,5445.0,10.0,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),3,8454,富邦媒,210.0,231.0,10.0,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),4,2357,華碩,692.0,761.0,9.97,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),5,1319,東陽,86.5,95.1,9.94,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),6,3481,群創,46.4,51.0,9.91,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),7,6770,力積電,80.7,88.7,9.91,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),8,1326,台化,45.4,49.9,9.91,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),9,2382,廣達,308.5,339.0,9.89,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),10,2356,英業達,63.9,70.2,9.86,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),11,2313,華通,259.0,284.5,9.85,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),12,3090,日電貿,208.5,229.0,9.83,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),13,4916,事欣科,102.5,112.5,9.76,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),14,2344,華邦電,144.0,158.0,9.72,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),15,3231,緯創,144.5,158.5,9.69,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),16,2376,技嘉,337.5,370.0,9.63,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),17,2324,仁寶,33.5,36.7,9.55,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(13035.12/12854.55),18,6805,富世達,1765.0,1930.0,9.35,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(13035.12/12854.55),19,2495,普安,47.35,51.5,8.76,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(13035.12/12854.55),20,6531,愛普*,1095.0,1190.0,8.68,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(13035.12/12854.55),21,4912,聯德控股-KY,106.0,115.0,8.49,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(13035.12/12854.55),22,2409,友達,21.2,23.0,8.49,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(13035.12/12854.55),23,1303,南亞,90.5,98.1,8.4,觀察中
2026-06-02,早盤(09:05),通過(13035.12/12854.55),24,6446,藥華藥,862.0,930.0,7.89,觀察中
2026-06-02,早盤(09:05),通過(13035.12/12854.55),25,2059,川湖,4700.0,5065.0,7.77,觀察中
2026-06-02,早盤(09:05),通過(13035.12/12854.55),26,8021,尖點,418.0,450.0,7.66,觀察中
2026-06-02,早盤(09:05),通過(13035.12/12854.55),27,1605,華新,36.0,38.75,7.64,觀察中
2026-06-02,早盤(09:05),通過(13035.12/12854.55),28,7769,鴻勁,7700.0,8260.0,7.27,觀察中
2026-06-02,早盤(09:05),通過(13035.12/12854.55),29,2408,南亞科,324.0,347.0,7.1,觀察中
2026-06-02,早盤(09:05),通過(13035.12/12854.55),30,3189,景碩,681.0,729.0,7.05,觀察中
2026-06-02,早盤(09:05),通過(12962.88/12840.10),1,3481,群創,51.0,56.1,10.0,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),2,2357,華碩,761.0,837.0,9.99,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),3,2356,英業達,70.2,77.2,9.97,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),4,3661,世芯-KY,4415.0,4855.0,9.97,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),5,5484,慧友,48.75,53.6,9.95,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),6,2324,仁寶,36.7,40.35,9.95,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),7,2353,宏碁,35.2,38.7,9.94,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),8,2408,南亞科,347.0,381.5,9.94,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),9,2497,怡利電,59.7,65.6,9.88,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),10,2382,廣達,339.0,372.5,9.88,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),11,6282,康舒,59.9,65.8,9.85,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),12,6805,富世達,1930.0,2120.0,9.84,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),13,1528,恩德,24.9,27.35,9.84,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),14,2474,可成,203.5,223.5,9.83,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),15,3231,緯創,158.5,174.0,9.78,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),16,1303,南亞,98.1,107.5,9.58,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12962.88/12840.10),17,2258,鴻華先進-創,30.15,32.95,9.29,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12962.88/12840.10),18,3008,大立光,3515.0,3835.0,9.1,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12962.88/12840.10),19,8028,昇陽半導體,327.0,356.5,9.02,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12962.88/12840.10),20,3653,健策,3545.0,3840.0,8.32,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12962.88/12840.10),21,2377,微星,131.0,141.5,8.02,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12962.88/12840.10),22,1326,台化,49.9,53.8,7.82,觀察中
2026-06-02,早盤(09:05),通過(12962.88/12840.10),23,2880,華南金,30.5,32.85,7.7,觀察中
2026-06-02,早盤(09:05),通過(12962.88/12840.10),24,2327,國巨*,738.0,790.0,7.05,觀察中
2026-06-02,早盤(09:05),通過(12962.88/12840.10),25,00663L,國泰臺灣加權正2,100.6,107.45,6.81,觀察中
2026-06-02,早盤(09:05),通過(12962.88/12840.10),26,8046,南電,848.0,905.0,6.72,觀察中
2026-06-02,早盤(09:05),通過(12962.88/12840.10),27,4958,臻鼎-KY,515.0,548.0,6.41,觀察中
2026-06-02,早盤(09:05),通過(12962.88/12840.10),28,2344,華邦電,158.0,168.0,6.33,觀察中
2026-06-02,早盤(09:05),通過(12962.88/12840.10),29,2912,統一超,214.0,227.5,6.31,觀察中
2026-06-02,早盤(09:05),通過(12962.88/12840.10),30,3189,景碩,729.0,774.0,6.17,觀察中
2026-06-02,早盤(09:05),通過(12949.10/12837.34),1,3481,群創,51.0,56.1,10.0,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),2,2357,華碩,761.0,837.0,9.99,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),3,2356,英業達,70.2,77.2,9.97,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),4,3661,世芯-KY,4415.0,4855.0,9.97,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),5,5484,慧友,48.75,53.6,9.95,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),6,2324,仁寶,36.7,40.35,9.95,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),7,2353,宏碁,35.2,38.7,9.94,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),8,2408,南亞科,347.0,381.5,9.94,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),9,2497,怡利電,59.7,65.6,9.88,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),10,2382,廣達,339.0,372.5,9.88,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),11,6282,康舒,59.9,65.8,9.85,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),12,6805,富世達,1930.0,2120.0,9.84,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),13,1528,恩德,24.9,27.35,9.84,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),14,2474,可成,203.5,223.5,9.83,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),15,3231,緯創,158.5,174.0,9.78,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),16,1303,南亞,98.1,107.5,9.58,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12949.10/12837.34),17,2258,鴻華先進-創,30.15,32.95,9.29,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12949.10/12837.34),18,3008,大立光,3515.0,3835.0,9.1,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12949.10/12837.34),19,8028,昇陽半導體,327.0,356.5,9.02,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12949.10/12837.34),20,3653,健策,3545.0,3840.0,8.32,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12949.10/12837.34),21,2377,微星,131.0,141.5,8.02,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12949.10/12837.34),22,1326,台化,49.9,53.8,7.82,觀察中
2026-06-02,早盤(09:05),通過(12949.10/12837.34),23,2880,華南金,30.5,32.85,7.7,觀察中
2026-06-02,早盤(09:05),通過(12949.10/12837.34),24,2327,國巨*,738.0,790.0,7.05,觀察中
2026-06-02,早盤(09:05),通過(12949.10/12837.34),25,00663L,國泰臺灣加權正2,100.6,107.45,6.81,觀察中
2026-06-02,早盤(09:05),通過(12949.10/12837.34),26,8046,南電,848.0,905.0,6.72,觀察中
2026-06-02,早盤(09:05),通過(12949.10/12837.34),27,4958,臻鼎-KY,515.0,548.0,6.41,觀察中
2026-06-02,早盤(09:05),通過(12949.10/12837.34),28,2344,華邦電,158.0,168.0,6.33,觀察中
2026-06-02,早盤(09:05),通過(12949.10/12837.34),29,2912,統一超,214.0,227.5,6.31,觀察中
2026-06-02,早盤(09:05),通過(12949.10/12837.34),30,3189,景碩,729.0,774.0,6.17,觀察中
2026-06-02,早盤(09:05),通過(12965.65/12840.65),1,3481,群創,51.0,56.1,10.0,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),2,2357,華碩,761.0,837.0,9.99,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),3,2356,英業達,70.2,77.2,9.97,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),4,3661,世芯-KY,4415.0,4855.0,9.97,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),5,5484,慧友,48.75,53.6,9.95,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),6,2324,仁寶,36.7,40.35,9.95,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),7,2353,宏碁,35.2,38.7,9.94,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),8,2408,南亞科,347.0,381.5,9.94,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),9,2497,怡利電,59.7,65.6,9.88,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),10,2382,廣達,339.0,372.5,9.88,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),11,6282,康舒,59.9,65.8,9.85,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),12,6805,富世達,1930.0,2120.0,9.84,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),13,1528,恩德,24.9,27.35,9.84,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),14,2474,可成,203.5,223.5,9.83,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),15,3231,緯創,158.5,174.0,9.78,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),16,1303,南亞,98.1,107.5,9.58,⚠️ 漲停跳過
2026-06-02,早盤(09:05),通過(12965.65/12840.65),17,2258,鴻華先進-創,30.15,32.95,9.29,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12965.65/12840.65),18,3008,大立光,3515.0,3835.0,9.1,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12965.65/12840.65),19,8028,昇陽半導體,327.0,356.5,9.02,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12965.65/12840.65),20,3653,健策,3545.0,3840.0,8.32,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12965.65/12840.65),21,2377,微星,131.0,141.5,8.02,⭐️ 買進標的
2026-06-02,早盤(09:05),通過(12965.65/12840.65),22,1326,台化,49.9,53.8,7.82,觀察中
2026-06-02,早盤(09:05),通過(12965.65/12840.65),23,2880,華南金,30.5,32.85,7.7,觀察中
2026-06-02,早盤(09:05),通過(12965.65/12840.65),24,2327,國巨*,738.0,790.0,7.05,觀察中
2026-06-02,早盤(09:05),通過(12965.65/12840.65),25,00663L,國泰臺灣加權正2,100.6,107.45,6.81,觀察中
2026-06-02,早盤(09:05),通過(12965.65/12840.65),26,8046,南電,848.0,905.0,6.72,觀察中
2026-06-02,早盤(09:05),通過(12965.65/12840.65),27,4958,臻鼎-KY,515.0,548.0,6.41,觀察中
2026-06-02,早盤(09:05),通過(12965.65/12840.65),28,2344,華邦電,158.0,168.0,6.33,觀察中
2026-06-02,早盤(09:05),通過(12965.65/12840.65),29,2912,統一超,214.0,227.5,6.31,觀察中
2026-06-02,早盤(09:05),通過(12965.65/12840.65),30,3189,景碩,729.0,774.0,6.17,觀察中
